Manufacturer,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban Cold,Metric Extra-Urban,Metric Combined,Imperial Urban Cold,Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel_Cost_12000_Miles,Noise Level dBA,Emissions CO mg/km,Emissions Nox mg/km
ALFA ROMEO,1.3 JTDm-2 95 bhp,M5,1248,Diesel,4.3,2.9,3.4,65.7,97.4,83.1,89,807,67.5,234,67
BMW,116d ED Plus 16'' tyres,M6,1496,Diesel,3.9,3.1,3.4,72.4,91.1,83.1,89,807,68,119,37
BMW,116d ED Plus 16'' tyres,M6,1496,Diesel,3.9,3.1,3.4,72.4,91.1,83.1,89,807,68,119,37
CITROEN,BlueHDi 100 S&S,M5,1560,Diesel,3.7,3.1,3.3,76.3,91.1,85.6,86,784,68.8,272,55
CITROEN,BlueHDi 100 S&S ETG6,AMT6,1560,Diesel,3.9,3.2,3.4,72.4,88.3,83.1,89,807,69.2,185,40
DACIA,dCi 90,M5,1461,Diesel,3.7,3.5,3.5,76.4,83.1,80.7,90,831,73.8,271,31
DACIA,dCi 90,M5,1461,Diesel,3.7,3.4,3.5,76.4,83.1,80.7,90,831,71.5,155,30
DS,BlueHDi 100 S&S,M5,1560,Diesel,3.8,3.2,3.4,74.3,88.3,83.1,87,807,69.4,196,34
FIAT,1.3 MultiJet 95 bhp,M5,1248,Diesel,4.1,3,3.4,68.9,94.2,83.1,89,807,71.5,177,40
FIAT,1.6 MultiJet 120 bhp Elite (Eco),M6,1598,Diesel,4,3,3.4,70.6,94.2,83.1,89,807,69,202,59
FIAT,1.6 MuliJet 120 bhp Elite (Eco),M6,1598,Diesel,4,3,3.4,70.6,94.2,83.1,89,807,69,202,59
FORD,1.5 TDCi (120PS) With Stop/Start,M6,1499,Diesel,3.9,3.2,3.5,72.4,88.3,80.7,89,831,66.4,161,67
FORD,1.5 TDCi (85PS) With Stop/Start - 3 Door,M6,1499,Diesel,3.5,3,3.2,80.7,94.2,88.3,82,760,66.7,241,58
FORD,1.5 TDCi (85PS) With Stop/Start - 5 Door,M6,1499,Diesel,3.7,3.1,3.3,76.3,91.1,85.6,84,784,66.7,241,58
FORD,1.5 Duratorq TDCi ECOnetic (95PS) Stop-Start ,M5,1499,Diesel,3.4,3,3.2,83.1,94.2,88.3,82,760,70,359,62
FORD,1.5 Duratorq TDCi ECOnetic (95PS) Stop-Start ,M5,1499,Diesel,3.4,3,3.2,83.1,94.2,88.3,82,760,70,359,62
FORD,1.5 Duratorq TDCi (105PS) With Stop/Start - 5 Door,M6,1499,Diesel,3.8,3.1,3.4,74.3,91.1,83.1,88,807,69,332,66
FORD,1.5 Duratorq TDCi (105PS) With Stop/Start - Estate,M6,1499,Diesel,3.8,3.1,3.4,74.3,91.1,83.1,88,807,69,332,66
FORD,1.5 Duratorq TDCi (105PS) With Stop/Start - 5 Door,M6,1499,Diesel,3.8,3.1,3.4,74.3,91.1,83.1,88,807,69,332,66
FORD,1.5 Duratorq TDCi (105PS) With Stop/Start - Estate,M6,1499,Diesel,3.8,3.1,3.4,74.3,91.1,83.1,88,807,69,332,66
